PLAYER,AGE,TEAM,DATE,TYPE,METHOD,EXTENSION,LENGTH,VALUE,AAV,PG,SG,SF,PF,C
Marquese Chriss,24,DAL,2022-01-15,Veteran Contract,Minimum Salary Exception,0,2.0,3152449.0,1576225.0,0,0,0,1,0
Bismack Biyombo,29,PHX,2022-01-11,Veteran Contract,Minimum Salary Exception,0,1.0,1366392.0,1366392.0,0,0,0,0,1
Killian Tillie,23,MEM,2022-01-01,Veteran Contract,Room-MLE,0,2.0,3803250.0,1901625.0,0,0,0,0,1
Alfonzo McKinnie,29,CHI,2021-12-26,Veteran Contract,Minimum Salary Exception,0,2.0,3126325.0,1563163.0,0,0,1,0,0
Garrison Mathews,25,HOU,2021-12-18,Veteran Contract,MLE,0,3.5,8230253.0,2057563.0,0,1,0,0,0
Wesley Matthews,35,MIL,2021-12-03,Veteran Contract,Minimum Salary Exception,0,1.0,1958495.0,1958495.0,0,1,1,0,0
Gary Clark,27,NOP,2021-12-03,Veteran Contract,Minimum Salary Exception,0,1.0,1282006.0,1282006.0,0,0,0,1,0
DeMarcus Cousins,31,MIL,2021-11-30,Veteran Contract,Minimum Salary Exception,0,1.0,2004041.0,2004041.0,0,0,0,0,1
Jonas Valanciunas,29,NOP,2021-10-20,Veteran Extension,Bird Exception,1,2.0,30135000.0,15067500.0,0,0,0,0,1
Jabari Parker,26,BOS,2021-10-19,Veteran Contract,Minimum Salary Exception,0,1.0,2239544.0,2239544.0,0,0,0,1,0
Gary Payton II,28,GSW,2021-10-19,Veteran Contract,Minimum Salary Exception,0,1.0,1939350.0,1939350.0,1,0,0,0,0
Dorian Finney-Smith,28,DAL,2021-10-18,Veteran Extension,Bird Exception,1,3.5,55560960.0,13890240.0,0,0,1,1,0
Landry Shamet,24,PHX,2021-10-18,Rookie Scale Extension,Bird Exception,1,3.5,42500000.0,10625000.0,0,1,0,0,0
Grayson Allen,26,MIL,2021-10-18,Rookie Scale Extension,Bird Exception,1,2.0,19550000.0,9775000.0,0,1,0,0,0
Jaren Jackson Jr.,22,MEM,2021-10-18,Rookie Scale Extension,Bird Exception,1,4.0,104720000.0,26180000.0,0,0,0,1,1
Kevin Huerter,23,ATL,2021-10-18,Rookie Scale Extension,Bird Exception,1,4.0,65000000.0,16250000.0,0,1,0,0,0
Malcolm Brogdon,28,IND,2021-10-18,Veteran Extension,Bird Exception,1,2.0,45000000.0,22500000.0,1,1,0,0,0
Mikal Bridges,25,PHX,2021-10-18,Designated Rookie Scale Extension,Bird Exception,1,4.0,90000000.0,22500000.0,0,1,1,0,0
Mfiondu Kabengele,24,HOU,2021-10-17,Veteran Contract,Minimum Salary Exception,0,1.0,1669178.0,1669178.0,0,0,0,0,1
Wendell Carter Jr.,22,ORL,2021-10-16,Rookie Scale Extension,Bird Exception,1,4.0,50000000.0,12500000.0,0,0,0,0,1
Armoni Brooks,23,HOU,2021-10-14,Veteran Contract,MLE,0,3.5,7201486.0,1800372.0,1,1,0,0,0
Ed Davis,32,CLE,2021-10-13,Veteran Contract,Minimum Salary Exception,0,1.0,2641691.0,2641691.0,0,0,0,1,1
Daniel Gafford,23,WAS,2021-10-12,Veteran Extension,Bird Exception,1,3.0,40182480.0,13394160.0,0,0,0,0,1
Michael Porter Jr.,23,DEN,2021-09-29,Designated Rookie Scale Extension,Bird Exception,1,5.0,179299750.0,35859950.0,0,0,1,0,0
Aaron Gordon,26,DEN,2021-09-27,Veteran Extension,Bird Exception,1,3.5,91440001.0,22860000.0,0,0,1,1,0
Denzel Valentine,27,CLE,2021-09-22,Veteran Contract,Minimum Salary Exception,0,2.0,4133270.0,2066635.0,0,1,1,0,0
Dante Exum,26,HOU,2021-09-17,Veteran Contract,Bird Exception,0,3.0,16215000.0,5405000.0,1,1,0,0,0
Frank Ntilikina,23,DAL,2021-09-16,Veteran Contract,Minimum Salary Exception,0,2.0,3825574.0,1912787.0,1,0,0,0,0
Jarred Vanderbilt,22,MIN,2021-09-15,Veteran Contract,Bird Exception,0,3.0,13527000.0,4509000.0,0,0,1,1,0
Jordan McLaughlin,25,MIN,2021-09-15,Veteran Contract,Early-Bird Exception,0,3.0,6780000.0,2260000.0,1,0,0,0,0
Paul Millsap,36,BKN,2021-09-10,Veteran Contract,Minimum Salary Exception,0,1.0,2641691.0,2641691.0,0,0,0,1,0
E'Twaun Moore,32,ORL,2021-09-09,Veteran Contract,Minimum Salary Exception,0,1.0,2641691.0,2641691.0,1,1,0,0,0
DeAndre Jordan,33,LAL,2021-09-09,Veteran Contract,Minimum Salary Exception,0,1.0,2641691.0,2641691.0,0,0,0,0,1
Timothe Luwawu-Cabarrot,26,ATL,2021-09-09,Veteran Contract,Minimum Salary Exception,0,1.0,1939350.0,1939350.0,0,1,1,0,0
Keita Bates-Diop,25,SAS,2021-09-07,Veteran Contract,Minimum Salary Exception,0,2.0,3607937.0,1803969.0,0,0,1,0,0
Alize Johnson,25,CHI,2021-09-07,Veteran Contract,Minimum Salary Exception,0,2.0,3607937.0,1803969.0,0,0,1,1,0
LaMarcus Aldridge,36,BKN,2021-09-03,Veteran Contract,Minimum Salary Exception,0,1.0,2641691.0,2641691.0,0,0,0,1,1
Clint Capela,27,ATL,2021-09-01,Veteran Extension,Bird Exception,1,2.0,46881280.0,23440640.0,0,0,0,0,1
Rajon Rondo,35,LAL,2021-08-31,Veteran Contract,Minimum Salary Exception,0,1.0,2641691.0,2641691.0,1,0,0,0,0
Sviatoslav Mykhailiuk,24,TOR,2021-08-31,Veteran Contract,Minimum Salary Exception,0,1.5,3607937.0,1803969.0,0,1,1,0,0
Austin Rivers,29,DEN,2021-08-31,Veteran Contract,Minimum Salary Exception,0,1.0,2401537.0,2401537.0,1,1,0,0,0
Lauri Markkanen,24,CHI,2021-08-28,Veteran Contract,Bird Exception,0,4.0,67470906.0,16867727.0,0,0,1,1,0
Julius Randle,26,NYK,2021-08-27,Veteran Extension,Bird Exception,1,3.5,117089280.0,29272320.0,0,0,0,1,1
Bryn Forbes,28,SAS,2021-08-25,Veteran Contract,Room-MLE,0,1.0,4500000.0,4500000.0,0,1,0,0,0
Terry Rozier,27,CHA,2021-08-24,Veteran Extension,Bird Exception,1,4.0,96258694.0,24064674.0,1,1,0,0,0
Robert Williams III,23,BOS,2021-08-24,Rookie Scale Extension,Bird Exception,1,4.0,54000000.0,13500000.0,0,0,0,0,1
Josh Richardson,27,BOS,2021-08-23,Veteran Extension,Bird Exception,1,1.0,12196094.0,12196094.0,0,1,1,0,0
Moritz Wagner,24,ORL,2021-08-23,Veteran Contract,Minimum Salary Exception,0,2.0,3607937.0,1803969.0,0,0,0,0,1
Marcus Smart,27,BOS,2021-08-21,Veteran Extension,Bird Exception,1,4.0,77087996.0,19271999.0,1,1,0,0,0
Torrey Craig,30,IND,2021-08-20,Veteran Contract,MLE,0,2.0,10000000.0,5000000.0,0,0,1,0,0
Hamidou Diallo,23,DET,2021-08-19,Veteran Contract,Bird Exception,0,1.5,10400000.0,5200000.0,0,1,1,0,0
Josh Hart,26,NOP,2021-08-19,Veteran Contract,Bird Exception,0,2.5,37920000.0,12640000.0,0,1,1,0,0
JaMychal Green,31,DEN,2021-08-19,Veteran Contract,Non-Bird Exception,0,1.5,16800000.0,8400000.0,0,0,0,1,0
Taj Gibson,36,NYK,2021-08-18,Veteran Contract,Room-MLE,0,2.0,10065500.0,5032750.0,0,0,0,1,1
Evan Fournier,28,BOS,2021-08-17,Veteran Contract,Bird Exception,0,3.5,79000000.0,19750000.0,0,1,1,0,0
Derrick Rose,32,NYK,2021-08-17,Veteran Contract,Early-Bird Exception,0,2.5,43562189.0,14520730.0,1,0,0,0,0
Willy Hernangomez,27,NOP,2021-08-16,Veteran Contract,Non-Bird Exception,0,2.5,7330743.0,2443581.0,0,0,0,0,1
JaVale McGee,33,PHX,2021-08-16,Veteran Contract,MLE,0,1.0,5000000.0,5000000.0,0,0,0,0,1
Alec Burks,30,NYK,2021-08-16,Veteran Contract,Cap Room,0,2.5,30038400.0,10012800.0,0,1,0,0,0
Udonis Haslem,41,MIA,2021-08-15,Veteran Contract,Minimum Salary Exception,0,1.0,2641691.0,2641691.0,0,0,0,1,1
Dennis Schroder,27,BOS,2021-08-13,Veteran Contract,Taxpayer-MLE,0,1.0,5890000.0,5890000.0,1,0,0,0,0
Enes Kanter Freedom,29,BOS,2021-08-13,Veteran Contract,Minimum Salary Exception,0,1.0,2641691.0,2641691.0,0,0,0,0,1
Didi Louzada,22,NOP,2021-08-13,Veteran Contract,Non-Bird Exception,0,4.0,7686312.0,1921578.0,1,1,0,0,0
Alex Len,28,SAC,2021-08-13,Veteran Contract,MLE,0,2.0,7650600.0,3825300.0,0,0,0,0,1
Nicolas Batum,32,LAC,2021-08-13,Veteran Contract,Non-Bird Exception,0,1.5,6498559.0,3249280.0,0,1,1,0,0
Kawhi Leonard,30,LAC,2021-08-12,Veteran Contract,Early-Bird Exception,0,3.5,176265152.0,44066288.0,0,0,1,0,0
Thanasis Antetokounmpo,29,MIL,2021-08-11,Veteran Contract,Minimum Salary Exception,0,1.5,3607937.0,1803969.0,0,0,1,0,0
Javonte Green,28,CHI,2021-08-11,Veteran Contract,Minimum Salary Exception,0,2.0,3484855.0,1742428.0,0,0,1,0,0
Isaac Bonga,21,TOR,2021-08-11,Veteran Contract,Minimum Salary Exception,0,1.0,1729217.0,1729217.0,1,0,1,0,0
Andre Iguodala,37,GSW,2021-08-11,Veteran Contract,Minimum Salary Exception,0,1.0,2641691.0,2641691.0,0,1,1,0,0
Elfrid Payton,27,PHX,2021-08-11,Veteran Contract,Minimum Salary Exception,0,1.0,2389641.0,2389641.0,1,0,0,0,0
Cory Joseph,29,DET,2021-08-11,Veteran Contract,Room-MLE,0,1.5,10065500.0,5032750.0,1,1,0,0,0
Rodney McGruder,30,ATL,2021-08-11,Veteran Contract,Minimum Salary Exception,0,1.0,1939350.0,1939350.0,0,1,0,0,0
Kemba Walker,31,NYK,2021-08-11,Veteran Contract,Cap Room,0,2.0,17894491.0,8947246.0,1,0,0,0,0
Tony Bradley,23,CHI,2021-08-11,Veteran Contract,Minimum Salary Exception,0,1.5,3825574.0,1912787.0,0,0,0,0,1
DeMar DeRozan,32,SAS,2021-08-11,Veteran Contract,Bird Exception,0,3.0,81900000.0,27300000.0,0,1,1,0,0
Tony Snell,29,POR,2021-08-11,Veteran Contract,Minimum Salary Exception,0,1.0,2389641.0,2389641.0,0,1,1,0,0
Zach Collins,23,SAS,2021-08-11,Veteran Contract,Cap Room,0,3.0,22050000.0,7350000.0,0,0,0,1,1
Jeff Green,34,DEN,2021-08-11,Veteran Contract,MLE,0,1.5,10000000.0,5000000.0,0,0,1,1,0
Will Barton,30,DEN,2021-08-11,Veteran Contract,Bird Exception,0,2.0,32000000.0,16000000.0,0,1,1,0,0
Mike Muscala,30,OKC,2021-08-11,Veteran Contract,MLE,0,1.5,7000000.0,3500000.0,0,0,0,1,1
Alex Caruso,27,CHI,2021-08-10,Veteran Contract,MLE,0,4.0,36980000.0,9245000.0,1,1,0,0,0
Reggie Jackson,31,LAC,2021-08-10,Veteran Contract,Early-Bird Exception,0,2.0,21599760.0,10799880.0,1,0,0,0,0
Luka Doncic,22,DAL,2021-08-10,Designated Rookie Scale Extension,Bird Exception,1,4.5,215159700.0,43031940.0,1,1,0,0,0
Patty Mills,32,BKN,2021-08-10,Veteran Contract,MLE,0,1.5,12074500.0,6037250.0,1,0,0,0,0
Tim Hardaway Jr.,29,DAL,2021-08-10,Veteran Contract,Bird Exception,0,4.0,75000000.0,18750000.0,0,1,1,0,0
Frank Kaminsky,28,PHX,2021-08-09,Veteran Contract,Minimum Salary Exception,0,1.0,2089448.0,2089448.0,0,0,0,1,1
Boban Marjanovic,32,DAL,2021-08-09,Veteran Contract,Early-Bird Exception,0,2.0,7000000.0,3500000.0,0,0,0,0,1
Furkan Korkmaz,24,PHI,2021-08-09,Veteran Contract,Bird Exception,0,3.0,15000000.0,5000000.0,0,1,0,0,0
Sterling Brown,26,DAL,2021-08-09,Veteran Contract,Biannual Exception,0,2.0,6000000.0,3000000.0,0,1,1,0,0
Nerlens Noel,27,NYK,2021-08-09,Veteran Contract,Cap Room,0,2.5,31878000.0,10626000.0,0,0,0,1,1
David Nwaba,28,HOU,2021-08-09,Veteran Contract,Early-Bird Exception,0,2.5,15066000.0,5022000.0,0,1,1,0,0
Blake Griffin,32,BKN,2021-08-09,Veteran Contract,Minimum Salary Exception,0,1.0,2641691.0,2641691.0,0,0,0,1,0
Gorgui Dieng,31,ATL,2021-08-09,Veteran Contract,MLE,0,1.0,4000000.0,4000000.0,0,0,0,1,1
Bruce Brown Jr.,24,BKN,2021-08-08,Veteran Contract,Bird Exception,0,1.0,4736102.0,4736102.0,0,1,0,0,0
DeAndre' Bembry,27,BKN,2021-08-08,Veteran Contract,Minimum Salary Exception,0,1.0,1939350.0,1939350.0,0,1,1,0,0
Lonzo Ball,23,NOP,2021-08-08,Veteran Contract,Bird Exception,0,3.5,84000000.0,21000000.0,1,0,0,0,0
Garrett Temple,35,CHI,2021-08-08,Veteran Contract,Bird Exception,0,3.0,15466500.0,5155500.0,0,1,1,0,0
Gary Trent Jr.,22,TOR,2021-08-08,Veteran Contract,Bird Exception,0,2.5,52590000.0,17530000.0,0,1,0,0,0
Doug McDermott,29,IND,2021-08-07,Veteran Contract,Bird Exception,0,3.0,42000000.0,14000000.0,0,0,1,1,0
Daniel Theis,29,CHI,2021-08-07,Veteran Contract,Bird Exception,0,3.5,35605510.0,8901378.0,0,0,0,0,1
P.J. Tucker,36,MIA,2021-08-07,Veteran Contract,MLE,0,1.5,14350000.0,7175000.0,0,1,1,1,0
Ish Smith,33,CHA,2021-08-07,Veteran Contract,Room-MLE,0,2.0,9225000.0,4612500.0,1,0,0,0,0
Kelly Oubre Jr.,25,CHA,2021-08-07,Veteran Contract,Cap Room,0,2.0,24600000.0,12300000.0,0,0,1,0,0
Victor Oladipo,29,MIA,2021-08-07,Veteran Contract,Minimum Salary Exception,0,1.0,2389641.0,2389641.0,1,1,0,0,0
Danny Green,34,PHI,2021-08-07,Veteran Contract,Bird Exception,0,2.0,20000000.0,10000000.0,0,1,0,0,0
Justise Winslow,25,LAC,2021-08-07,Veteran Contract,Taxpayer-MLE,0,2.0,8000000.0,4000000.0,0,0,1,1,0
Wayne Ellington,33,LAL,2021-08-07,Veteran Contract,Minimum Salary Exception,0,1.0,2641691.0,2641691.0,0,1,0,0,0
Maurice Harkless,28,SAC,2021-08-06,Veteran Contract,Non-Bird Exception,0,2.0,8912580.0,4456290.0,0,0,1,0,0
Frank Jackson,23,DET,2021-08-06,Veteran Contract,Cap Room,0,1.5,6150000.0,3075000.0,1,0,0,0,0
Sam Dekker,27,TOR,2021-08-06,Veteran Contract,Minimum Salary Exception,0,1.0,1789256.0,1789256.0,0,0,1,1,0
Devonte' Graham,26,CHA,2021-08-06,Veteran Contract,Bird Exception,0,4.0,47300000.0,11825000.0,1,0,0,0,0
Spencer Dinwiddie,28,BKN,2021-08-06,Veteran Contract,Bird Exception,0,3.0,61714284.0,20571428.0,1,1,0,0,0
Cam Payne,26,PHX,2021-08-06,Veteran Contract,Early-Bird Exception,0,3.0,19000000.0,6333333.0,1,0,0,0,0
Georges Niang,28,DET,2021-08-06,Veteran Contract,MLE,0,2.0,6765000.0,3382500.0,0,0,0,1,0
Abdel Nader,27,PHX,2021-08-06,Veteran Contract,Bird Exception,0,1.5,4160000.0,2080000.0,0,0,1,0,0
T.J. McConnell,29,IND,2021-08-06,Veteran Contract,Early-Bird Exception,0,4.0,35200000.0,8800000.0,1,0,0,0,0
Saben Lee,22,DET,2021-08-06,Veteran Contract,Cap Room,0,2.5,5143840.0,1714613.0,1,0,0,0,0
Richaun Holmes,27,SAC,2021-08-06,Veteran Contract,Early-Bird Exception,0,3.5,46522560.0,11630640.0,0,0,0,1,1
John Collins,23,ATL,2021-08-06,Veteran Contract,Bird Exception,0,4.5,125000000.0,25000000.0,0,0,0,1,0
Khem Birch,28,TOR,2021-08-06,Veteran Contract,MLE,0,3.0,20002500.0,6667500.0,0,0,0,0,1
Trevor Ariza,36,LAL,2021-08-06,Veteran Contract,Minimum Salary Exception,0,1.0,2641691.0,2641691.0,0,1,1,0,0
Kendrick Nunn,26,LAL,2021-08-06,Veteran Contract,Taxpayer-MLE,0,1.5,10250000.0,5125000.0,0,1,0,0,0
Trey Lyles,25,DET,2021-08-06,Veteran Contract,Cap Room,0,1.5,5125000.0,2562500.0,0,0,0,1,0
George Hill,35,MIL,2021-08-06,Veteran Contract,MLE,0,2.0,8000000.0,4000000.0,1,0,0,0,0
Hassan Whiteside,32,UTA,2021-08-06,Veteran Contract,Minimum Salary Exception,0,1.0,2401537.0,2401537.0,0,0,0,0,1
Ömer Yurtseven,23,MIA,2021-08-06,Veteran Contract,Minimum Salary Exception,0,2.0,3241703.0,1620852.0,0,0,0,0,1
Trae Young,22,ATL,2021-08-06,Designated Rookie Scale Extension,Bird Exception,1,4.5,215159700.0,43031940.0,1,0,0,0,0
Lou Williams,34,ATL,2021-08-06,Veteran Contract,Bird Exception,0,1.0,5000000.0,5000000.0,1,1,0,0,0
Max Strus,25,MIA,2021-08-06,Veteran Contract,Minimum Salary Exception,0,2.0,3484855.0,1742428.0,0,1,1,0,0
Gabe Vincent,25,MIA,2021-08-06,Veteran Contract,Minimum Salary Exception,0,2.0,3484855.0,1742428.0,1,0,0,0,0
Norman Powell,28,POR,2021-08-06,Veteran Contract,Bird Exception,0,5.0,90000000.0,18000000.0,0,1,0,0,0
Bobby Portis,26,MIL,2021-08-06,Veteran Contract,Non-Bird Exception,0,1.5,8912580.0,4456290.0,0,0,0,1,1
Duncan Robinson,27,MIA,2021-08-05,Veteran Contract,Bird Exception,0,4.5,90000000.0,18000000.0,0,0,1,1,0
Solomon Hill,30,ATL,2021-08-05,Veteran Contract,Minimum Salary Exception,0,1.0,2389641.0,2389641.0,0,0,1,0,0
Raul Neto,29,WAS,2021-08-04,Veteran Contract,Minimum Salary Exception,0,1.0,2089448.0,2089448.0,1,0,0,0,0
Cody Zeller,28,POR,2021-08-04,Veteran Contract,Minimum Salary Exception,0,1.0,2389641.0,2389641.0,0,0,0,0,1
Andre Drummond,27,PHI,2021-08-04,Veteran Contract,Minimum Salary Exception,0,1.0,2401537.0,2401537.0,0,0,0,0,1
Jarrell Brantley,25,UTA,2021-07-30,Veteran Contract,Minimum Salary Exception,0,1.0,1669178.0,1669178.0,0,0,0,1,0
Gary Payton II,28,GSW,2021-05-16,Veteran Contract,Minimum Salary Exception,0,2.0,1988909.0,994455.0,1,0,0,0,0
Charlie Brown Jr.,24,OKC,2021-05-15,Veteran Contract,Minimum Salary Exception,0,2.0,1721397.0,860699.0,0,1,0,0,0
Anderson Varejao,38,CLE,2021-05-14,Veteran Contract,Minimum Salary / Hardship Combined Exception,0,1.0,52700.0,52700.0,0,0,0,1,1
Khyri Thomas,25,HOU,2021-05-14,Veteran Contract,MLE,0,3.5,6088954.0,1522239.0,0,1,0,0,0
Cameron Reynolds,26,HOU,2021-05-14,Veteran Contract,Minimum Salary Exception,0,1.0,33299.0,33299.0,0,1,0,0,0
Mike James,30,BKN,2021-05-13,Veteran Contract,Minimum Salary Exception,0,1.0,39608.0,39608.0,1,0,0,0,0
Juan Toscano-Anderson,28,GSW,2021-05-13,Veteran Contract,Taxpayer-MLE,0,2.0,2059888.0,1029944.0,0,0,1,0,0
Ignas Brazdeikis,22,ORL,2021-05-12,Veteran Contract,Minimum Salary Exception,0,1.0,49510.0,49510.0,0,0,1,0,0
Donta Hall,23,ORL,2021-05-09,Veteran Contract,Minimum Salary / Hardship Combined Exception,0,1.0,79216.0,79216.0,0,0,0,1,0
Anthony Tolliver,35,PHI,2021-05-02,Veteran Contract,Minimum Salary Exception,0,2.0,2956493.0,1478247.0,0,0,1,1,0
Mfiondu Kabengele,23,CLE,2021-05-01,Veteran Contract,MLE,0,3.0,3706764.0,1235588.0,0,0,0,0,1
Austin Rivers,28,DEN,2021-04-30,Veteran Contract,Minimum Salary Exception,0,1.0,270142.0,270142.0,1,1,0,0,0
Yogi Ferrell,27,LAC,2021-04-29,Veteran Contract,Minimum Salary Exception,0,2.0,2191180.0,1095590.0,1,1,0,0,0
Rondae Hollis-Jefferson,26,POR,2021-04-28,Veteran Contract,Minimum Salary Exception,0,1.0,245031.0,245031.0,0,0,1,0,0
Damian Jones,25,SAC,2021-04-27,Veteran Contract,Minimum Salary Exception,0,2.0,2214976.0,1107488.0,0,0,0,0,1
Chimezie Metu,24,SAC,2021-04-27,Veteran Contract,MLE,0,3.0,4373656.0,1457885.0,0,0,0,1,0
Moritz Wagner,24,ORL,2021-04-27,Veteran Contract,Minimum Salary Exception,0,1.0,221995.0,221995.0,0,0,0,0,1
DeMarcus Cousins,30,LAC,2021-04-26,Veteran Contract,Minimum Salary Exception,0,1.0,368903.0,368903.0,0,0,0,0,1
Tim Frazier,30,MEM,2021-04-24,Veteran Contract,Minimum Salary Exception,0,1.0,319573.0,319573.0,1,0,0,0,0
Norvel Pelle,28,NYK,2021-04-22,Veteran Contract,Cap Room,0,2.5,4048331.0,1349444.0,0,0,0,0,1
Oshae Brissett,22,IND,2021-04-21,Veteran Contract,MLE,0,2.5,4305784.0,1435261.0,0,0,1,1,0
Yuta Watanabe,26,TOR,2021-04-18,Veteran Contract,Minimum Salary Exception,0,2.0,2084689.0,1042345.0,0,0,1,0,0
Jabari Parker,26,BOS,2021-04-16,Veteran Contract,Minimum Salary Exception,0,2.0,2713763.0,1356882.0,0,0,0,1,0
Alize Johnson,24,BKN,2021-04-11,Veteran Contract,Taxpayer-MLE,0,3.0,4073247.0,1357749.0,0,0,1,1,0
Khem Birch,28,TOR,2021-04-10,Veteran Contract,Minimum Salary Exception,0,1.0,425463.0,425463.0,0,0,0,0,1
Dewayne Dedmon,31,MIA,2021-04-08,Veteran Contract,Minimum Salary Exception,0,1.0,580811.0,580811.0,0,0,0,0,1
Tyler Cook,23,DET,2021-04-07,Veteran Contract,Minimum Salary Exception,0,2.0,2097674.0,1048837.0,0,0,0,1,0
Ben McLemore,28,LAL,2021-04-06,Veteran Contract,Minimum Salary Exception,0,1.0,610596.0,610596.0,0,1,0,0,0
Jrue Holiday,30,MIL,2021-04-04,Veteran Extension,Bird Exception,1,3.5,158665573.0,39666393.0,1,1,0,0,0
Jeff Teague,32,MIL,2021-04-01,Veteran Contract,Minimum Salary Exception,0,1.0,808073.0,808073.0,1,0,0,0,0
Gorgui Dieng,31,SAS,2021-03-29,Veteran Contract,MLE,0,1.0,1000000.0,1000000.0,0,0,0,1,1
Moses Brown,21,OKC,2021-03-28,Veteran Contract,MLE,0,3.5,6796049.0,1699012.0,0,0,0,0,1
Andre Drummond,27,LAL,2021-03-28,Veteran Contract,Minimum Salary Exception,0,1.0,794536.0,794536.0,0,0,0,0,1
LaMarcus Aldridge,35,BKN,2021-03-28,Veteran Contract,Minimum Salary Exception,0,1.0,878340.0,878340.0,0,0,0,1,1
Ersan Ilyasova,33,UTA,2021-03-10,Veteran Contract,Minimum Salary Exception,0,1.0,1194542.0,1194542.0,0,0,0,1,0
Blake Griffin,31,BKN,2021-03-08,Veteran Contract,Minimum Salary Exception,0,1.0,1229676.0,1229676.0,0,0,0,1,0
André Roberson,29,BKN,2021-02-16,Veteran Contract,Minimum Salary Exception,0,1.0,1340333.0,1340333.0,0,1,1,0,0
Noah Vonleh,25,BKN,2021-02-08,Veteran Contract,Minimum Salary Exception,0,1.0,1361659.0,1361659.0,0,0,0,1,1
Iman Shumpert,30,BKN,2021-01-30,Veteran Contract,Minimum Salary Exception,0,1.0,1708770.0,1708770.0,1,1,0,0,0
Norvel Pelle,27,BKN,2021-01-28,Veteran Contract,Minimum Salary Exception,0,2.0,2780915.0,1390458.0,0,0,0,0,1
Alex Len,27,WAS,2021-01-23,Veteran Contract,Minimum Salary Exception,0,1.0,1697755.0,1697755.0,0,0,0,0,1
Taj Gibson,35,NYK,2021-01-07,Veteran Contract,Minimum Salary Exception,0,1.0,2283684.0,2283684.0,0,0,0,1,1
