PLAYER,AGE,TEAM,DATE,TYPE,METHOD,EXTENSION,LENGTH,VALUE,AAV,PG,SG,SF,PF,C
Bruno Fernando,24,HOU,2022-10-02,Veteran Contract,MLE,0,3.5,10869564.0,2717391.0,0,0,0,0,1
Tyler Herro,22,MIA,2022-10-02,Rookie Scale Extension,Bird Exception,1,4.0,130000000.0,32500000.0,0,1,0,0,0
Bojan Bogdanovic,33,DET,2022-10-01,Veteran Extension,Bird Exception,1,2.0,39032850.0,19516425.0,0,0,1,0,0
Steven Adams,29,MEM,2022-10-01,Veteran Extension,Bird Exception,1,2.0,25200000.0,12600000.0,0,0,0,0,1
Anthony Tolliver,37,MIA,2022-09-29,Veteran Contract,Minimum Salary Exception,0,1.0,825497.0,825497.0,0,0,1,1,0
Dean Wade,25,CLE,2022-09-27,Veteran Extension,Bird Exception,1,3.0,18500000.0,6166667.0,0,0,0,1,0
Andre Iguodala,38,GSW,2022-09-26,Veteran Contract,Minimum Salary Exception,0,1.0,2905851.0,2905851.0,0,1,1,0,0
Jordan Nwora,24,MIL,2022-09-26,Veteran Contract,Early-Bird Exception,0,2.0,6200000.0,3100000.0,0,0,1,0,0
CJ McCollum,31,NOP,2022-09-26,Veteran Extension,Bird Exception,1,2.0,63999999.0,32000000.0,0,1,0,0,0
Kent Bazemore,33,SAC,2022-09-20,Veteran Contract,Minimum Salary Exception,0,1.0,2905851.0,2905851.0,0,1,1,0,0
Sviatoslav Mykhailiuk,25,NYK,2022-09-18,Veteran Contract,Minimum Salary Exception,0,1.0,1968175.0,1968175.0,0,1,1,0,0
Dennis Schroder,29,LAL,2022-09-16,Veteran Contract,Minimum Salary Exception,0,1.0,2641682.0,2641682.0,1,0,0,0,0
KZ Okpala,23,SAC,2022-09-14,Veteran Contract,Minimum Salary Exception,0,2.0,3968718.0,1984359.0,0,0,1,0,0
Montrezl Harrell,28,PHI,2022-09-13,Veteran Contract,Minimum Salary Exception,0,1.5,5223516.0,2611758.0,0,0,0,1,1
Maxi Kleber,30,DAL,2022-09-08,Veteran Extension,Bird Exception,1,3.0,33000000.0,11000000.0,0,0,0,1,1
Markieff Morris,33,BKN,2022-09-07,Veteran Contract,Minimum Salary Exception,0,1.0,2905851.0,2905851.0,0,0,0,1,0
Collin Sexton,23,CLE,2022-09-03,Veteran Contract,Bird Exception,0,4.0,72950000.0,18237500.0,1,1,0,0,0
RJ Barrett,22,NYK,2022-09-01,Rookie Scale Extension,Bird Exception,1,4.0,120000000.0,30000000.0,0,1,0,0,0
Josh Jackson,25,TOR,2022-08-30,Veteran Contract,Minimum Salary Exception,0,1.0,2133278.0,2133278.0,0,1,1,0,0
Joe Wieskamp,23,SAS,2022-08-24,Veteran Contract,Cap Room,0,2.0,4375000.0,2187500.0,1,1,0,0,0
Udonis Haslem,42,MIA,2022-08-23,Veteran Contract,Minimum Salary Exception,0,1.0,2905851.0,2905851.0,0,0,0,1,1
Sam Merrill,26,SAC,2022-08-12,Veteran Contract,Minimum Salary Exception,0,2.0,3833328.0,1916664.0,0,1,0,0,0
Gorgui Dieng,32,SAS,2022-08-09,Veteran Contract,Minimum Salary Exception,0,1.0,2641682.0,2641682.0,0,0,0,1,1
Mike Muscala,31,OKC,2022-08-03,Veteran Contract,Bird Exception,0,1.5,7000000.0,3500000.0,0,0,0,1,1
Goran Dragic,36,CHI,2022-08-02,Veteran Contract,Minimum Salary Exception,0,1.0,2905851.0,2905851.0,1,1,0,0,0
Rodney McGruder,31,DET,2022-08-01,Veteran Contract,Minimum Salary Exception,0,1.0,2298385.0,2298385.0,0,1,0,0,0
JaMychal Green,32,GSW,2022-08-01,Veteran Contract,Minimum Salary Exception,0,1.0,2628597.0,2628597.0,0,0,0,1,0
Kevin Knox,22,DET,2022-08-01,Veteran Contract,Cap Room,0,1.5,6000000.0,3000000.0,0,0,1,1,0
Matthew Dellavedova,31,SAC,2022-07-29,Veteran Contract,Minimum Salary Exception,0,1.0,2628597.0,2628597.0,1,1,0,0,0
Juancho Hernangomez,26,TOR,2022-07-27,Veteran Contract,Minimum Salary Exception,0,1.0,2298385.0,2298385.0,0,0,0,1,0
James Harden,32,PHI,2022-07-27,Veteran Contract,Bird Exception,0,1.5,68640000.0,34320000.0,1,1,0,0,0
Nathan Knight,24,MIN,2022-07-22,Veteran Contract,Minimum Salary Exception,0,1.5,3833328.0,1916664.0,0,0,0,1,0
Kenrich Williams,27,OKC,2022-07-20,Veteran Extension,Bird Exception,1,3.5,27170000.0,6792500.0,0,0,1,1,0
Austin Rivers,29,MIN,2022-07-19,Veteran Contract,Minimum Salary Exception,0,1.0,2905851.0,2905851.0,1,1,0,0,0
Taj Gibson,37,WAS,2022-07-19,Veteran Contract,Minimum Salary Exception,0,1.0,2905851.0,2905851.0,0,0,0,1,1
Serge Ibaka,32,MIL,2022-07-19,Veteran Contract,Minimum Salary Exception,0,1.0,2905851.0,2905851.0,0,0,0,1,1
Keldon Johnson,22,SAS,2022-07-18,Designated Rookie Scale Extension,Bird Exception,1,4.0,74000000.0,18500000.0,0,0,1,0,0
Kentavious Caldwell-Pope,29,DEN,2022-07-18,Veteran Extension,Bird Exception,1,1.5,30145123.0,15072562.0,0,1,0,0,0
Pat Connaughton,29,MIL,2022-07-18,Veteran Extension,Bird Exception,1,2.5,28271607.0,9423869.0,0,1,0,0,0
Deandre Ayton,23,PHX,2022-07-15,Post-Rookie Free-Agent Contract,Bird Exception,0,4.0,132929128.0,33232282.0,0,0,0,0,1
Justin Champagnie,21,TOR,2022-07-13,Veteran Contract,Minimum Salary Exception,0,2.0,3565862.0,1782931.0,0,0,1,1,0
Danilo Gallinari,33,BOS,2022-07-12,Veteran Contract,Taxpayer-MLE,0,1.5,13281950.0,6640975.0,0,0,1,1,0
Mitchell Robinson,24,NYK,2022-07-12,Veteran Contract,Bird Exception,0,4.0,60000000.0,15000000.0,0,0,0,0,1
Jalen Brunson,25,NYK,2022-07-12,Veteran Contract,Cap Room,0,3.5,104000000.0,26000000.0,1,0,0,0,0
Isaiah Hartenstein,24,NYK,2022-07-12,Veteran Contract,Cap Room,0,2.0,18100000.0,9050000.0,0,0,0,1,1
Frank Kaminsky,29,ATL,2022-07-11,Veteran Contract,Minimum Salary Exception,0,1.0,2463490.0,2463490.0,0,0,0,1,1
